順位,チーム名,試合,勝利,敗戦,引分,勝率,勝差,残試合,得点,失点,本塁打,盗塁,打率,防御率,失策,date
1,ロッテ,21,13,8,0,0.619,-,122,71,59,11,6,0.224,2.8,5,2023-04-27 00:21:50.446639
2,オリックス,21,12,9,0,0.571,1,122,74,71,22,8,0.253,3.32,7,2023-04-27 00:21:50.446639
2,西武,21,12,9,0,0.571,0,122,75,56,18,15,0.248,2.49,7,2023-04-27 00:21:50.446639
4,ソフトバンク,18,10,8,0,0.556,0.5,125,60,53,8,10,0.235,2.71,7,2023-04-27 00:21:50.446639
5,楽天,19,7,12,0,0.368,3.5,124,47,71,15,13,0.203,3.48,8,2023-04-27 00:21:50.446639
6,日本ハム,22,7,15,0,0.318,1.5,121,74,91,11,14,0.219,3.79,12,2023-04-27 00:21:50.446639
2,ソフトバンク,19,11,8,0,0.579,1,124,65,56,9,10,0.232,2.73,7,2023-04-28 02:14:35.001123
3,オリックス,21,12,9,0,0.571,0,122,74,71,22,8,0.253,3.32,7,2023-04-28 02:14:35.001123
3,西武,21,12,9,0,0.571,0,122,75,56,18,15,0.248,2.49,7,2023-04-28 02:14:35.001123
5,楽天,20,7,13,0,0.35,4.5,123,50,76,16,13,0.203,3.58,9,2023-04-28 02:14:35.001123
6,日本ハム,22,7,15,0,0.318,1,121,74,91,11,14,0.219,3.79,12,2023-04-28 02:14:35.001123
1,ロッテ,22,14,8,0,0.636,-,121,75,62,11,7,0.224,2.8,5,2023-04-29 03:14:53.480660
2,ソフトバンク,20,12,8,0,0.6,1,123,71,59,10,11,0.238,2.73,7,2023-04-29 03:14:53.480660
3,西武,22,13,9,0,0.591,0,121,79,56,20,15,0.251,2.38,7,2023-04-29 03:14:53.480660
4,オリックス,22,12,10,0,0.545,1,121,77,75,22,8,0.253,3.34,7,2023-04-29 03:14:53.480660
5,楽天,21,7,14,0,0.333,4.5,122,50,80,16,13,0.196,3.62,9,2023-04-29 03:14:53.480660
6,日本ハム,23,7,16,0,0.304,1,120,77,97,12,15,0.216,3.87,12,2023-04-29 03:14:53.480660
1,ロッテ,23,14,9,0,0.609,-,120,77,65,11,7,0.226,2.82,5,2023-04-29 11:54:25.933994
2,ソフトバンク,21,12,9,0,0.571,1,122,72,62,11,11,0.238,2.75,7,2023-04-29 11:54:25.933994
3,オリックス,23,13,10,0,0.565,0,120,80,77,22,8,0.254,3.28,7,2023-04-29 11:54:25.933994
3,西武,23,13,10,0,0.565,0,120,81,64,21,16,0.25,2.54,9,2023-04-29 11:54:25.933994
5,楽天,22,8,14,0,0.364,4.5,121,58,82,19,13,0.199,3.54,11,2023-04-29 11:54:25.933994
6,日本ハム,24,8,16,0,0.333,1,119,80,98,13,15,0.219,3.75,12,2023-04-29 11:54:25.933994
1,オリックス,24,14,10,0,0.583,-,119,84,80,22,8,0.256,3.19,8,2023-04-30 16:47:36.215300
1,ロッテ,24,14,10,0,0.583,-,119,80,69,11,7,0.226,2.76,6,2023-04-30 16:47:36.215300
3,ソフトバンク,22,12,10,0,0.545,1,121,73,67,11,11,0.239,2.87,8,2023-04-30 16:47:36.215300
4,西武,24,13,11,0,0.542,0,119,87,71,22,16,0.254,2.67,11,2023-04-30 16:47:36.215300
5,楽天,23,9,14,0,0.391,3.5,120,65,88,21,13,0.205,3.55,13,2023-04-30 16:47:36.215300
6,日本ハム,25,9,16,0,0.36,1,118,85,99,15,16,0.221,3.64,12,2023-04-30 16:47:36.215300
1,オリックス,25,15,10,0,0.6,-,118,85,80,22,8,0.257,3.07,8,2023-05-02 14:12:59.312866
2,ロッテ,25,14,11,0,0.56,1,118,81,74,12,7,0.227,2.87,6,2023-05-02 14:12:59.312866
3,ソフトバンク,23,12,11,0,0.522,1,120,73,68,11,11,0.236,2.79,8,2023-05-02 14:12:59.312866
4,西武,25,13,12,0,0.52,0,118,88,78,22,19,0.251,2.69,14,2023-05-02 14:12:59.312866
5,楽天,24,10,14,0,0.417,2.5,119,70,89,21,16,0.209,3.44,13,2023-05-02 14:12:59.312866
6,日本ハム,26,10,16,0,0.385,1,117,92,100,15,19,0.223,3.54,12,2023-05-02 14:12:59.312866
1,オリックス,26,16,10,0,0.615,-,117,94,84,23,9,0.268,3.1,8,2023-05-03 14:12:39.974015
2,ロッテ,26,15,11,0,0.577,1,117,83,74,13,7,0.226,2.74,7,2023-05-03 14:12:39.974015
3,西武,26,14,12,0,0.538,1,117,91,79,22,20,0.252,2.62,14,2023-05-03 14:12:39.974015
4,ソフトバンク,24,12,12,0,0.5,1,119,77,77,13,11,0.238,3.06,8,2023-05-03 14:12:39.974015
5,楽天,25,10,15,0,0.4,2.5,118,70,91,21,19,0.207,3.36,13,2023-05-03 14:12:39.974015
6,日本ハム,27,10,17,0,0.37,1,116,93,103,15,19,0.226,3.45,14,2023-05-03 14:12:39.974015
1,オリックス,27,16,11,0,0.593,-,116,101,92,24,10,0.271,3.27,8,2023-05-04 14:13:10.790804
2,ロッテ,27,15,12,0,0.556,1,116,83,80,13,9,0.224,2.88,7,2023-05-04 14:13:10.790804
3,ソフトバンク,25,13,12,0,0.52,1,118,85,84,15,11,0.244,3.15,9,2023-05-04 14:13:10.790804
4,西武,27,14,13,0,0.519,0,116,91,80,22,20,0.247,2.56,14,2023-05-04 14:13:10.790804
5,楽天,26,11,15,0,0.423,2.5,117,76,91,21,20,0.212,3.23,13,2023-05-04 14:13:10.790804
6,日本ハム,28,11,17,0,0.393,1,115,94,103,16,19,0.227,3.33,14,2023-05-04 14:13:10.790804
1,オリックス,28,17,11,0,0.607,-,115,107,92,24,10,0.273,3.15,8,2023-05-05 14:12:33.286656
2,ロッテ,28,15,12,1,0.556,1.5,115,83,80,13,9,0.222,2.74,7,2023-05-05 14:12:33.286656
3,ソフトバンク,26,13,12,1,0.52,1,117,85,84,15,11,0.24,2.99,9,2023-05-05 14:12:33.286656
4,西武,28,14,14,0,0.5,0.5,115,91,86,22,20,0.246,2.7,14,2023-05-05 14:12:33.286656
5,日本ハム,29,12,17,0,0.414,2.5,114,99,105,16,20,0.231,3.21,15,2023-05-05 14:12:33.286656
6,楽天,27,11,16,0,0.407,0,116,78,96,21,21,0.214,3.31,13,2023-05-05 14:12:33.286656
1,オリックス,29,18,11,0,0.621,-,114,111,95,24,11,0.274,3.15,9,2023-05-06 14:11:19.530331
2,ソフトバンク,27,14,12,1,0.538,2.5,116,91,87,17,12,0.243,2.99,9,2023-05-06 14:11:19.530331
3,ロッテ,29,15,13,1,0.536,0,114,86,86,13,9,0.227,2.85,7,2023-05-06 14:11:19.530331
4,西武,29,14,15,0,0.483,1.5,114,94,90,23,21,0.247,2.75,14,2023-05-06 14:11:19.530331
5,楽天,28,12,16,0,0.429,1.5,115,83,96,24,21,0.215,3.19,14,2023-05-06 14:11:19.530331
6,日本ハム,30,12,18,0,0.4,1,113,99,110,16,20,0.229,3.27,16,2023-05-06 14:11:19.530331
1,オリックス,30,18,12,0,0.6,-,113,115,100,25,11,0.272,3.21,9,2023-05-07 14:11:22.148706
2,ソフトバンク,27,14,12,1,0.538,2,116,91,87,17,12,0.243,2.99,9,2023-05-07 14:11:22.148706
4,西武,30,15,15,0,0.5,1,113,99,94,23,21,0.248,2.79,14,2023-05-07 14:11:22.148706
5,日本ハム,31,13,18,0,0.419,2.5,112,102,112,17,20,0.229,3.17,19,2023-05-07 14:11:22.148706
6,楽天,29,12,17,0,0.414,0,114,85,99,24,22,0.213,3.2,14,2023-05-07 14:11:22.148706
1,オリックス,31,19,12,0,0.613,-,112,117,100,27,11,0.269,3.11,9,2023-05-09 14:13:25.970088
2,ソフトバンク,28,15,12,1,0.556,2,115,92,87,17,13,0.243,2.88,9,2023-05-09 14:13:25.970088
3,ロッテ,30,16,13,1,0.552,0,113,92,88,15,9,0.228,2.82,7,2023-05-09 14:13:25.970088
4,西武,31,15,16,0,0.484,2,112,101,100,25,21,0.247,2.89,15,2023-05-09 14:13:25.970088
5,日本ハム,32,13,19,0,0.406,2.5,111,102,113,17,20,0.224,3.07,22,2023-05-09 14:13:25.970088
6,楽天,30,12,18,0,0.4,0,113,85,101,24,22,0.211,3.15,14,2023-05-09 14:13:25.970088
1,オリックス,32,20,12,0,0.625,-,111,125,102,28,12,0.273,3.07,9,2023-05-10 14:13:47.437703
2,ロッテ,31,17,13,1,0.567,2,112,95,90,15,10,0.226,2.8,7,2023-05-10 14:13:47.437703
3,ソフトバンク,29,15,13,1,0.536,1,114,95,93,18,14,0.24,2.99,9,2023-05-10 14:13:47.437703
4,西武,32,15,17,0,0.469,2,111,103,103,26,21,0.243,2.9,17,2023-05-10 14:13:47.437703
5,日本ハム,33,14,19,0,0.424,1.5,110,108,116,20,21,0.225,3.07,22,2023-05-10 14:13:47.437703
6,楽天,31,12,19,0,0.387,1,112,87,109,25,22,0.21,3.22,15,2023-05-10 14:13:47.437703
1,オリックス,33,20,13,0,0.606,-,110,128,109,28,12,0.272,3.17,10,2023-05-11 14:13:04.370604
2,ロッテ,32,18,13,1,0.581,1,111,98,90,15,11,0.228,2.71,7,2023-05-11 14:13:04.370604
3,ソフトバンク,30,16,13,1,0.552,1,113,101,96,20,16,0.24,2.99,9,2023-05-11 14:13:04.370604
4,西武,33,15,18,0,0.455,3,110,103,106,26,21,0.243,2.9,18,2023-05-11 14:13:04.370604
5,日本ハム,34,14,20,0,0.412,1.5,109,111,122,22,21,0.224,3.17,23,2023-05-11 14:13:04.370604
6,楽天,32,13,19,0,0.406,0,111,94,112,27,25,0.213,3.21,15,2023-05-11 14:13:04.370604
1,オリックス,34,20,14,0,0.588,-,109,131,113,28,13,0.271,3.2,11,2023-05-12 14:12:07.614817
2,ロッテ,32,18,13,1,0.581,0.5,111,98,90,15,11,0.228,2.71,7,2023-05-12 14:12:07.614817
3,ソフトバンク,31,17,13,1,0.567,0.5,112,105,99,21,17,0.239,2.99,9,2023-05-12 14:12:07.614817
4,西武,34,15,18,1,0.455,3.5,109,107,110,28,21,0.24,2.9,18,2023-05-12 14:12:07.614817
6,楽天,33,13,19,1,0.406,0,110,98,116,28,25,0.214,3.2,15,2023-05-12 14:12:07.614817
1,オリックス,35,21,14,0,0.6,-,108,139,116,28,14,0.276,3.19,12,2023-05-13 14:11:15.611095
2,ロッテ,33,18,14,1,0.563,1.5,110,98,95,15,11,0.226,2.79,8,2023-05-13 14:11:15.611095
3,ソフトバンク,32,17,14,1,0.548,0.5,111,108,107,21,17,0.237,3.16,10,2023-05-13 14:11:15.611095
4,西武,35,16,18,1,0.471,2.5,108,114,114,28,21,0.242,2.94,19,2023-05-13 14:11:15.611095
5,日本ハム,35,15,20,0,0.429,1.5,108,116,122,23,21,0.228,3.08,23,2023-05-13 14:11:15.611095
6,楽天,34,13,20,1,0.394,1,109,102,123,28,26,0.216,3.23,16,2023-05-13 14:11:15.611095
1,オリックス,36,21,14,1,0.6,-,107,142,119,29,16,0.273,3.16,12,2023-05-14 14:11:28.693189
2,ロッテ,34,19,14,1,0.576,1,109,103,97,15,16,0.228,2.71,10,2023-05-14 14:11:28.693189
3,ソフトバンク,33,17,14,2,0.548,1,110,111,110,22,18,0.236,3.12,10,2023-05-14 14:11:28.693189
4,西武,36,16,19,1,0.457,3,107,114,119,28,21,0.237,2.99,19,2023-05-14 14:11:28.693189
5,日本ハム,36,15,21,0,0.417,1.5,107,118,127,23,21,0.228,3.1,24,2023-05-14 14:11:28.693189
6,楽天,35,14,20,1,0.412,0,108,107,123,30,28,0.216,3.14,16,2023-05-14 14:11:28.693189
1,オリックス,37,21,14,2,0.6,-,106,143,120,30,16,0.268,3.07,12,2023-05-16 14:12:42.613088
2,ロッテ,35,19,14,2,0.576,1,108,104,98,15,16,0.226,2.63,10,2023-05-16 14:12:42.613088
3,ソフトバンク,34,17,15,2,0.531,1.5,109,111,113,22,19,0.236,3.13,10,2023-05-16 14:12:42.613088
4,西武,37,17,19,1,0.472,2,106,118,121,30,25,0.238,2.94,19,2023-05-16 14:12:42.613088
5,楽天,36,15,20,1,0.429,1.5,107,110,123,33,29,0.214,3.05,17,2023-05-16 14:12:42.613088
6,日本ハム,37,15,22,0,0.405,1,106,120,131,24,21,0.225,3.05,26,2023-05-16 14:12:42.613088
1,ロッテ,36,20,14,2,0.588,-,107,111,101,15,17,0.23,2.64,10,2023-05-17 14:12:30.333288
2,オリックス,38,21,15,2,0.583,0,105,146,127,31,16,0.267,3.18,12,2023-05-17 14:12:30.333288
3,ソフトバンク,35,18,15,2,0.545,1.5,108,121,114,22,19,0.239,3.07,11,2023-05-17 14:12:30.333288
4,西武,38,17,20,1,0.459,3,105,118,124,30,25,0.236,2.95,19,2023-05-17 14:12:30.333288
5,日本ハム,38,16,22,0,0.421,1.5,105,123,131,24,21,0.225,2.96,26,2023-05-17 14:12:30.333288
6,楽天,37,15,21,1,0.417,0,106,111,133,33,29,0.213,3.24,18,2023-05-17 14:12:30.333288
1,ロッテ,37,21,14,2,0.6,-,106,116,102,15,19,0.231,2.6,10,2023-05-18 14:12:15.265347
2,オリックス,39,21,16,2,0.568,1,104,147,132,31,17,0.266,3.16,13,2023-05-18 14:12:15.265347
3,ソフトバンク,35,18,15,2,0.545,1,108,121,114,22,19,0.239,3.07,11,2023-05-18 14:12:15.265347
4,西武,39,17,21,1,0.447,3.5,104,120,130,30,26,0.236,2.99,22,2023-05-18 14:12:15.265347
5,日本ハム,39,17,22,0,0.436,0.5,104,129,133,24,22,0.226,2.94,27,2023-05-18 14:12:15.265347
6,楽天,37,15,21,1,0.417,0.5,106,111,133,33,29,0.213,3.24,18,2023-05-18 14:12:15.265347
2,ソフトバンク,36,19,15,2,0.559,1.5,107,126,118,23,19,0.239,3.09,11,2023-05-19 14:12:16.332831
3,オリックス,40,21,17,2,0.553,0,103,147,133,31,17,0.263,3.11,13,2023-05-19 14:12:16.332831
4,日本ハム,40,18,22,0,0.45,4,103,130,133,24,22,0.226,2.87,28,2023-05-19 14:12:16.332831
5,西武,40,17,22,1,0.436,0.5,103,124,135,32,26,0.236,3.04,22,2023-05-19 14:12:16.332831
1,ロッテ,38,22,14,2,0.611,-,105,122,103,15,21,0.232,2.56,11,2023-05-20 14:12:23.046266
2,ソフトバンク,37,19,16,2,0.543,2.5,106,126,119,23,19,0.238,3.04,12,2023-05-20 14:12:23.046266
3,オリックス,41,21,18,2,0.538,0,102,150,138,31,17,0.262,3.15,14,2023-05-20 14:12:23.046266
4,日本ハム,41,19,22,0,0.463,3,102,135,136,25,23,0.226,2.87,28,2023-05-20 14:12:23.046266
5,西武,41,18,22,1,0.45,0.5,102,125,135,32,27,0.234,2.97,22,2023-05-20 14:12:23.046266
6,楽天,38,15,22,1,0.405,1.5,105,112,139,33,30,0.21,3.21,19,2023-05-20 14:12:23.046266
1,ロッテ,39,23,14,2,0.622,-,104,128,107,16,23,0.234,2.59,11,2023-05-21 14:11:29.976610
2,ソフトバンク,38,20,16,2,0.556,2.5,105,129,120,23,19,0.24,2.98,12,2023-05-21 14:11:29.976610
3,オリックス,42,22,18,2,0.55,0,101,160,142,32,17,0.264,3.17,14,2023-05-21 14:11:29.976610
4,日本ハム,42,19,23,0,0.452,4,101,139,146,27,23,0.226,3.05,29,2023-05-21 14:11:29.976610
5,西武,42,18,23,1,0.439,0.5,101,126,138,32,28,0.233,2.95,23,2023-05-21 14:11:29.976610
6,楽天,39,15,23,1,0.395,1.5,104,116,145,33,30,0.211,3.2,21,2023-05-21 14:11:29.976610
